county,candidate,party,votes,state,race name
Glenn,Rash Bihari Ghosh,NPP,2,CA,U.S. Senate
Glenn,Tim Gildersleeve,NPP,17,CA,U.S. Senate
Glenn,Michael Fahmy Girgis,NPP,0,CA,U.S. Senate
Glenn,Don J. Grundmann,NPP,32,CA,U.S. Senate
Glenn,Jason M. Hanania,NPP,10,CA,U.S. Senate
Glenn,David Moore,NPP,15,CA,U.S. Senate
Glenn,Lee Olson,NPP,3,CA,U.S. Senate
Glenn,Ling Ling Shi,NPP,12,CA,U.S. Senate
Humboldt,Kevin De Leon,DEM,"2,156",CA,U.S. Senate
Humboldt,Adrienne Nicole Edwards,DEM,283,CA,U.S. Senate
Humboldt,Dianne Feinstein,DEM,"8,167",CA,U.S. Senate
Humboldt,Pat Harris,DEM,406,CA,U.S. Senate
Humboldt,Alison Hartson,DEM,653,CA,U.S. Senate
Humboldt,David Hildebrand,DEM,114,CA,U.S. Senate
Humboldt,Herbert G. Peters,DEM,137,CA,U.S. Senate
Humboldt,Douglas Howard Pierce,DEM,267,CA,U.S. Senate
Humboldt,Gerald Plummer,DEM,42,CA,U.S. Senate
Humboldt,Donnie O. Turner,DEM,160,CA,U.S. Senate
Humboldt,Arun K. Bhumitra,REP,443,CA,U.S. Senate
Humboldt,James P Bradley,REP,"1,760",CA,U.S. Senate
Humboldt,"John ""Jack"" Crew",REP,332,CA,U.S. Senate
Humboldt,Erin Cruz,REP,738,CA,U.S. Senate
Humboldt,"Roque ""Rocky"" De La Fuente",REP,217,CA,U.S. Senate
Humboldt,Jerry Joseph Laws,REP,253,CA,U.S. Senate
Humboldt,Patrick Little,REP,155,CA,U.S. Senate
Humboldt,Kevin Mottus,REP,197,CA,U.S. Senate
Humboldt,Mario Nabliba,REP,67,CA,U.S. Senate
Humboldt,Tom Palzer,REP,920,CA,U.S. Senate
Humboldt,Paul A Taylor,REP,946,CA,U.S. Senate
Humboldt,Derrick Michael Reid,LIB,193,CA,U.S. Senate
Humboldt,John Thompson Parker,P&F,124,CA,U.S. Senate
Humboldt,Colleen Shea Fernald,NPP,40,CA,U.S. Senate
Humboldt,Rash Bihari Ghosh,NPP,57,CA,U.S. Senate
Humboldt,Tim Gildersleeve,NPP,41,CA,U.S. Senate
Humboldt,Michael Fahmy Girgis,NPP,6,CA,U.S. Senate
Humboldt,Don J. Grundmann,NPP,53,CA,U.S. Senate
Humboldt,Jason M. Hanania,NPP,49,CA,U.S. Senate
Humboldt,David Moore,NPP,61,CA,U.S. Senate
Humboldt,Lee Olson,NPP,26,CA,U.S. Senate
Humboldt,Ling Ling Shi,NPP,32,CA,U.S. Senate
Imperial,Kevin De Leon,DEM,"1,577",CA,U.S. Senate
Imperial,Adrienne Nicole Edwards,DEM,110,CA,U.S. Senate
Imperial,Dianne Feinstein,DEM,"3,085",CA,U.S. Senate
Imperial,Pat Harris,DEM,256,CA,U.S. Senate
Imperial,Alison Hartson,DEM,565,CA,U.S. Senate
Imperial,David Hildebrand,DEM,192,CA,U.S. Senate
Imperial,Herbert G. Peters,DEM,59,CA,U.S. Senate
Imperial,Douglas Howard Pierce,DEM,153,CA,U.S. Senate
Imperial,Gerald Plummer,DEM,52,CA,U.S. Senate
